hi Parisa
         8087408 function calls (7989965 primitive calls) in 1849.719 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 __init__.py:2333(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2340(Distribution)
       78    0.000    0.000    0.003    0.000 __init__.py:2344(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
       78    0.000    0.000    0.005    0.000 __init__.py:2356(from_location)
       58    0.000    0.000    0.000    0.000 __init__.py:2373(_reload_version)
        1    0.001    0.001    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
      222    0.000    0.000    0.000    0.000 __init__.py:2415(key)
        1    0.000    0.000    0.000    0.000 __init__.py:245(get_supported_platform)
      118    0.000    0.000    0.001    0.000 __init__.py:2501(_get_metadata)
       36    0.000    0.000    0.001    0.000 __init__.py:2506(activate)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
      155    0.000    0.000    0.000    0.000 __init__.py:2542(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:257(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
       11    0.000    0.000    0.000    0.000 __init__.py:258(load)
       36    0.000    0.000    0.000    0.000 __init__.py:2587(insert_on)
        1    0.000    0.000    0.003    0.003 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2673(EggInfoDistribution)
       20    0.000    0.000    0.002    0.000 __init__.py:2675(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:2693(DistInfoDistribution)
        1    0.000    0.000    0.395    0.395 __init__.py:27(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:273(u)
       53    0.000    0.000    0.000    0.000 __init__.py:276(u_safe)
        1    0.000    0.000    0.000    0.000 __init__.py:2760(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:2784(Requirement)
        1    0.000    0.000    0.000    0.000 __init__.py:281(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:2837(_get_mro)
       20    0.000    0.000    0.000    0.000 __init__.py:2840(cls)
       23    0.000    0.000    0.000    0.000 __init__.py:2844(_find_adapter)
        2    0.000    0.000    0.000    0.000 __init__.py:285(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        2    0.000    0.000    0.011    0.006 __init__.py:2912(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:2917(_initialize)
        1    0.002    0.002    0.028    0.028 __init__.py:292(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:292(_CountryTimezoneDict)
        1    0.000    0.000    0.011    0.011 __init__.py:2927(_initialize_master_working_set)
       13    0.000    0.000    0.041    0.003 __init__.py:294(loads)
       36    0.000    0.000    0.001    0.000 __init__.py:2952(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:296(set_fileo)
        7    0.003    0.000    0.062    0.009 __init__.py:3(<module>)
        1    0.000    0.000    0.194    0.194 __init__.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(ParserError)
       75    0.000    0.000    0.000    0.000 __init__.py:308(set_function_name)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:313(ResourceWarning)
       23    0.000    0.000    0.000    0.000 __init__.py:313(report)
        1    0.000    0.000    0.000    0.000 __init__.py:314(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:320(VersionConflict)
        4    0.000    0.000    0.000    0.000 __init__.py:324(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:327(add_metaclass)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:329(wrapper)
    14/10    0.000    0.000    0.000    0.000 __init__.py:335(wrapper)
      9/7    0.000    0.000    0.031    0.004 __init__.py:34(load_module)
        1    0.001    0.001    0.095    0.095 __init__.py:345(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
